arquivo,titulo_estimado,status,palavras,referencias_estimadas,dois_unicos,referencias_2021_2026_estimadas,proporcao_recente_estimada,menciona_limitacoes,afirma_revisao_narrativa,menciona_revisao_sistematica,tabelas,autor_metadado,criado_metadado,observacao
artigo-01-impacto-validacao-farmaceutica-erros.docx,Impacto da validação farmacêutica na identificação e prevenção de erros relacionados à terapia antineoplásica,rascunho_nao_validado,3052,19,0,1,0.053,False,True,False,0,python-docx,2013-12-23T23:15:00+00:00,Triagem automática; exige leitura integral e revisão humana.
artigo-02-perfil-intervencoes-farmaceuticas.docx,Caracterização das intervenções do farmacêutico clínico em pacientes submetidos à terapia antineoplásica ambulatorial,rascunho_nao_validado,2943,18,0,2,0.111,False,True,True,0,python-docx,2013-12-23T23:15:00+00:00,Triagem automática; exige leitura integral e revisão humana.
artigo-03-near-misses-quimioterapia.docx,Near misses na terapia antineoplásica: erros interceptados pelo farmacêutico antes da manipulação,rascunho_nao_validado,2928,18,0,1,0.056,False,True,False,0,python-docx,2013-12-23T23:15:00+00:00,Triagem automática; exige leitura integral e revisão humana.
artigo-04-checklist-validacao-prescricoes.docx,Desenvolvimento e validação de checklist farmacêutico para validação de prescrições antineoplásicas,rascunho_nao_validado,2965,17,0,1,0.059,False,True,False,0,python-docx,2013-12-23T23:15:00+00:00,Triagem automática; exige leitura integral e revisão humana.
artigo-05-desperdicio-antineoplasicos-impacto-economico.docx,Análise do desperdício de medicamentos antineoplásicos e impacto econômico em um centro de oncologia,rascunho_nao_validado,2963,17,0,2,0.118,False,True,False,0,python-docx,2013-12-23T23:15:00+00:00,Triagem automática; exige leitura integral e revisão humana.
artigo-06-estrategias-reducao-desperdicio.docx,Impacto de estratégias farmacêuticas de otimização de frascos na redução do desperdício de antineoplásicos,rascunho_nao_validado,2925,17,0,2,0.118,False,True,False,0,python-docx,2013-12-23T23:15:00+00:00,Triagem automática; exige leitura integral e revisão humana.
artigo-07-dose-rounding-antineoplasicos.docx,Impacto clínico e econômico do arredondamento de doses de medicamentos antineoplásicos,rascunho_nao_validado,2908,15,0,2,0.133,False,True,False,0,python-docx,2013-12-23T23:15:00+00:00,Triagem automática; exige leitura integral e revisão humana.
artigo-08-modelo-preditivo-consumo.docx,Desenvolvimento de modelo preditivo de consumo de antineoplásicos baseado no agendamento e nos ciclos de tratamento,rascunho_nao_validado,2870,15,0,2,0.133,False,True,False,0,python-docx,2013-12-23T23:15:00+00:00,Triagem automática; exige leitura integral e revisão humana.
artigo-09-sistema-apoio-decisao-compras.docx,Desenvolvimento e avaliação de um sistema de apoio à decisão para previsão de compras de medicamentos antineoplásicos,rascunho_nao_validado,2872,15,0,2,0.133,False,True,False,0,python-docx,2013-12-23T23:15:00+00:00,Triagem automática; exige leitura integral e revisão humana.
artigo-10-desabastecimento-antineoplasicos.docx,Desabastecimento de medicamentos antineoplásicos: impacto assistencial e estratégias farmacêuticas de mitigação,rascunho_nao_validado,2777,15,0,3,0.2,False,True,False,0,python-docx,2013-12-23T23:15:00+00:00,Triagem automática; exige leitura integral e revisão humana.
artigo-11-dpyd-fluorouracil-capecitabina.docx,Aplicabilidade da genotipagem DPYD na prevenção de toxicidade grave relacionada ao 5-fluorouracil e à capecitabina,rascunho_nao_validado,3125,15,13,2,0.133,False,True,False,0,python-docx,2013-12-23T23:15:00+00:00,Triagem automática; exige leitura integral e revisão humana.
artigo-12-dpyd-protocolo-institucional.docx,Implementação de rastreamento farmacogenético prévio ao uso de fluoropirimidinas: proposta de protocolo institucional,rascunho_nao_validado,3061,15,12,1,0.067,False,True,False,0,python-docx,2013-12-23T23:15:00+00:00,Triagem automática; exige leitura integral e revisão humana.
